player_last_name,player_first_name,position,shirt_number,team_name,nationality,loan
# ================== PARIS SAINT-GERMAIN ==================
Donnarumma,Gianluigi,GK,99,Paris Saint-Germain,Italie,0
Navas,Keylor,GK,1,Paris Saint-Germain,Costa Rica,0
Letellier,Alexandre,GK,90,Paris Saint-Germain,France,0
Hakimi,Achraf,DEF,2,Paris Saint-Germain,Maroc,0
Marquinhos, ,DEF,5,Paris Saint-Germain,Brésil,0
Skriniar,Milan,DEF,37,Paris Saint-Germain,Slovaquie,0
Hernandez,Lucas,DEF,21,Paris Saint-Germain,France,0
Hernandez,Théo,DEF,19,Paris Saint-Germain,France,0
Beraldo,Lucas,DEF,35,Paris Saint-Germain,Brésil,0
Mukiele,Nordi,DEF,26,Paris Saint-Germain,France,0
Kurzawa,Layvin,DEF,97,Paris Saint-Germain,France,0
Vitinha, ,MIL,17,Paris Saint-Germain,Portugal,0
Ruiz,Fabian,MIL,8,Paris Saint-Germain,Espagne,0
Ugarte,Manuel,MIL,4,Paris Saint-Germain,Uruguay,0
Zaïre-Emery,Warren,MIL,33,Paris Saint-Germain,France,0
Asensio,Marco,MIL,11,Paris Saint-Germain,Espagne,0
Kang-In,Lee,MIL,19,Paris Saint-Germain,Corée du Sud,0
Mendes,Nuno,DEF,25,Paris Saint-Germain,Portugal,0
Mbappé,Kylian,ATT,7,Paris Saint-Germain,France,0
Dembele,Ousmane,ATT,10,Paris Saint-Germain,France,0
Kolo Muani,Randal,ATT,23,Paris Saint-Germain,France,0
Gonçalo,Ramos,ATT,9,Paris Saint-Germain,Portugal,0
Barcola,Bradley,ATT,29,Paris Saint-Germain,France,0
Ekitike,Hugo,ATT,44,Paris Saint-Germain,France,0

# ================== OLYMPIQUE DE MARSEILLE ==================
Lopez,Pau,GK,16,Olympique de Marseille,Espagne,0
Ngapandouetnbu,Simon,GK,40,Olympique de Marseille,Cameroun,0
Blanco,Ruben,GK,36,Olympique de Marseille,Espagne,0
Clauss,Jonathan,DEF,7,Olympique de Marseille,France,0
Mbemba,Chancel,DEF,99,Olympique de Marseille,RD Congo,0
Gigot,Samuel,DEF,4,Olympique de Marseille,France,0
Balerdi,Leonardo,DEF,5,Olympique de Marseille,Argentine,0
Kolasinac,Sead,DEF,23,Olympique de Marseille,Bosnie,0
Merlin,Quentin,DEF,3,Olympique de Marseille,France,0
Gasset, ,MIL,6,Olympique de Marseille,France,0
Veretout,Jordan,MIL,27,Olympique de Marseille,France,0
Rongier,Valentin,MIL,21,Olympique de Marseille,France,0
Ounahi,Azzedine,MIL,8,Olympique de Marseille,Maroc,0
Harit,Amine,MIL,11,Olympique de Marseille,Maroc,0
Luis Henrique, ,ATT,44,Olympique de Marseille,Brésil,0
Aubameyang,Pierre-Emerick,ATT,10,Olympique de Marseille,Gabon,0
Correa,Joachim,ATT,20,Olympique de Marseille,Argentine,1
Sarr,Ismaila,ATT,23,Olympique de Marseille,Sénégal,0
Giggs,Ilyes,ATT,12,Olympique de Marseille,France,0

# ================== OLYMPIQUE LYONNAIS ==================
Lopes,Anthony,GK,1,Olympique Lyonnais,Portugal,0
Perri,Bento,GK,31,Olympique Lyonnais,Brésil,0
